design,rep,fold,model,AUC,TSS,PR_AUC,Boyce
Mesozoic,3,2,Gradient boosting,0.853542037624983,0.590475733326019,0.0162016422583795,0.810922823582951
Mesozoic,3,3,Geological baseline,0.819065047876994,0.509708903691775,0.00141388900920469,0.881680613267819
Mesozoic,3,3,MaxEnt,0.87359706637944,0.702351846235896,0.00271929954738377,0.784986435362869
Mesozoic,3,3,Random forest,0.836355143770414,0.584532959659232,0.010922230859416,0.813676204344973
Mesozoic,3,3,Gradient boosting,0.860802214158484,0.587323663818796,0.0255333397079282,0.924506702884387
Mesozoic,3,4,Geological baseline,0.668952540590285,0.477604680207717,0.000303651284006854,0.465369345199037
Mesozoic,3,4,MaxEnt,0.772346019851443,0.556037599421547,0.000528942325325688,0.678575799950949
Mesozoic,3,4,Random forest,0.761997962269112,0.494248340235325,0.000301421715975225,0.558080918375025
Mesozoic,3,4,Gradient boosting,0.768842437389075,0.525997502136331,0.000445126923157761,0.678575799950949
Mesozoic,3,5,Geological baseline,0.750749828583249,0.434777149710773,0.00177168120200484,0.828283210838796
Mesozoic,3,5,MaxEnt,0.873624463032504,0.656273555172785,0.0038848825928137,0.956717261205505
Mesozoic,3,5,Random forest,0.822827646468219,0.522803854546662,0.00744890330262892,0.880952380952381
Mesozoic,3,5,Gradient boosting,0.84386732364717,0.599235083337696,0.00510479304670177,0.67532983143918
Mesozoic,4,1,Geological baseline,0.662705282664583,0.345839293350833,0.000799435648963167,0.661093652917021
Mesozoic,4,1,MaxEnt,0.803889126470343,0.547235780750004,0.00177853250059774,0.924506702884387
Mesozoic,4,1,Random forest,0.818201279007467,0.50360255408255,0.00501552112956776,0.714285714285714
Mesozoic,4,1,Gradient boosting,0.858382856777707,0.616604977413377,0.0056143171457273,0.897085227145061
Mesozoic,4,2,Geological baseline,0.77908713206078,0.41219173792495,0.00196827482123886,0.962351520069081
Mesozoic,4,2,MaxEnt,0.798120198494605,0.459678211994249,0.00232873872340944,0.941179969941847
Mesozoic,4,2,Random forest,0.813639684901625,0.545583586480241,0.00418528576553029,0.802409595481884
Mesozoic,4,2,Gradient boosting,0.833829722227937,0.661745445069978,0.00447941734049951,0.545779124207135
Mesozoic,4,3,Geological baseline,0.819065047876994,0.509708903691775,0.00141388900920469,0.881680613267819
Mesozoic,4,3,MaxEnt,0.873931002750269,0.70334738096981,0.00429019439988135,0.784986435362869
Mesozoic,4,3,Random forest,0.84598422342365,0.597785841516169,0.00820683057943506,0.826868865789565
Mesozoic,4,3,Gradient boosting,0.856626266640175,0.56955392654097,0.00589741932353182,0.888786294584405
Mesozoic,4,4,Geological baseline,0.668952540590285,0.477604680207717,0.000303651284006854,0.465369345199037
Mesozoic,4,4,MaxEnt,0.777844606586472,0.553046736343917,0.000431128138575236,0.756644449203734
Mesozoic,4,4,Random forest,0.763979819890883,0.518043778347466,0.000277303557268967,0.627376434428478
Mesozoic,4,4,Gradient boosting,0.758773746138171,0.533047393676461,0.000368514664566325,0.529423393731722
Mesozoic,4,5,Geological baseline,0.750749828583249,0.434777149710773,0.00177168120200484,0.828283210838796
Mesozoic,4,5,MaxEnt,0.870351052143465,0.668273366199383,0.00375814406418351,0.956717261205505
Mesozoic,4,5,Random forest,0.831722803258685,0.591050492075673,0.0139896851633094,0.976190476190476
Mesozoic,4,5,Gradient boosting,0.847983879377086,0.574192277031603,0.00829442602888412,0.80298537814383
Mesozoic,5,1,Geological baseline,0.662705282664583,0.345839293350833,0.000799435648963167,0.661093652917021
Mesozoic,5,1,MaxEnt,0.780855686471129,0.532569467997778,0.0013313618345432,0.894186721257433
Mesozoic,5,1,Random forest,0.801026106105516,0.513217229734712,0.00269683052788851,0.396412483586046
Mesozoic,5,1,Gradient boosting,0.85356052674266,0.643951258116684,0.00424433515817596,0.741234143431291
Mesozoic,5,2,Geological baseline,0.77908713206078,0.41219173792495,0.00196827482123886,0.962351520069081
