rep,departamento,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias
7,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.778693061907958,0.484351755108254,0.0102607548375784,0.808135229794045,-0.55451977139859,0.676469163650957,0.345593373973333,0.00519233986249872,0.435615614589293,-0.157071274807841
8,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.775987572740294,0.482296690446371,0.0116123157843947,0.775476393169796,-0.520172666197068,0.711958815673847,0.447779215477335,0.00588929860369588,0.554888364320385,-0.230408700492992
9,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.781395091370804,0.455449381058808,0.0113636602432571,0.880771012101089,-0.543058922129253,0.676614471253313,0.398329654513877,0.00528077960668463,0.654433211476029,-0.163619288164468
10,Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.76541817452135,0.445876377827444,0.0106380097091302,0.795140497035705,-0.51234548356772,0.661063098096471,0.341057700956954,0.00479008356382082,0.76220929164888,-0.155018851983059
1,Amazonas,22,0.79263462476194,0.579785814832875,0.00630107845345412,0.774645569002855,-0.153254503209983,0.81037068386527,0.528259009485606,0.0471338521642941,0.811899030453063,-0.566281845826335,0.605321507760532,0.252035587123129,0.0129861919460323,0.445130226322946,0.0454904487041322
2,Amazonas,22,0.79263462476194,0.579785814832875,0.00630107845345412,0.774645569002855,-0.153254503209983,0.828513860393225,0.540375928089723,0.0364160758041222,0.825403127314553,-0.547061748271069,0.621721209667774,0.22501403060051,0.00850468353642562,0.434269040688731,0.0301032794246024
3,Amazonas,22,0.79263462476194,0.579785814832875,0.00630107845345412,0.774645569002855,-0.153254503209983,0.801455502295498,0.51628929718192,0.0385849209905005,0.804054411407273,-0.527526419292725,0.632490270583581,0.259612111398368,0.0150667670241971,0.401303384395678,-0.0439858591440444
4,Amazonas,22,0.79263462476194,0.579785814832875,0.00630107845345412,0.774645569002855,-0.153254503209983,0.839954550054742,0.600491301027684,0.0516318197172069,0.779246150786742,-0.562731771489504,0.633930132209659,0.287153490169379,0.0201424730859269,0.464225921739402,0.0831106174283933
5,Amazonas,22,0.79263462476194,0.579785814832875,0.00630107845345412,0.774645569002855,-0.153254503209983,0.821282350884618,0.534897093595606,0.0510973314951191,0.810287391340663,-0.534628836394638,0.62674692476838,0.23545187734035,0.017251124156301,0.55048188256318,0.0406445876762801
6,Amazonas,22,0.79263462476194,0.579785814832875,0.00630107845345412,0.774645569002855,-0.153254503209983,0.831669595458686,0.529763273868122,0.0299062497503725,0.796712054877082,-0.571199908540309,0.662216742876595,0.286141446853925,0.017332331102567,0.580346432818365,-0.0246611073922037
